                                                           The SAS System                      09:37 Thursday, November 29, 2018   1

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG
                                         424    00853         2         6313.51         0  
                                         425    00575         2         6313.51         0  
                                         426    01288         2         6313.51       237  
                                         427    02134         2         6313.51       827  
                                         428    01695         2         6313.51         0  
                                         429    00480         2         6313.51      1077  
                                         430    02274         2         6313.51       222  
                                         431    00615         2         6313.51       283  
                                         432    00216         2         6313.51      1116  
                                         433    00362         2         6313.51         0  
                                         434    01541         2         6313.51         0  
                                         435    02249         2         6313.51       638  
                                         436    01365         2         6313.51         0  
                                         437    01753         2         6313.51      1107  
                                         438    02495         2         6313.51      1304  
                                         439    01921         2         6313.51         0  
                                         440    01545         2         6313.51         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   9

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         441    01033         2         6313.51         0  
                                         442    01029         2         6313.51       863  
                                         443    01145         2         6313.51      1125  
                                         444    01273         2         6313.51         0  
                                         445    00436         2         6313.51         0  
                                         446    00491         2         6313.51       754  
                                         447    04516         2         6313.51       495  
                                         448    04514         2         6313.51      2058  
                                         449    04014         2         6313.51         0  
                                         450    02741         2         6313.51       245  
                                         451    04247         2         6313.51         0  
                                         452    03424         2         6313.51      1049  
                                         453    04305         2         6313.51       718  
                                         454    04899         2         6313.51         0  
                                         455    05053         2         6313.51         0  
                                         456    03255         2         6313.51       679  
                                         457    04433         2         6313.51       358  
                                         458    04502         2         6313.51      1078  
                                         459    04919         2         6313.51        55  
                                         460    03823         2         6313.51         0  
                                         461    02829         2         6313.51       586  
                                         462    03956         2         6313.51       678  
